Window	RT_s	RI	Annotated	X001	X002	X003	X004	X005	X006	X007	X008	X009	X010	X011	X012	X013	X014	X015	X016	X017	X018	X019	X020	X021	X022	X023	X024	X025	X026	X027	X028	X029	X030	X031	X032	X033	X034	X035	X036	X037	X038	X039	X040	X041	X042	X043	X044	X045	X046	X101	X102	X103	X104	X105	X106	X107	X108	X109	X109_1	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X130	X131	X132	X133	X134
29	Win006_C01	538.61	-99	404730	185638	437145	120078	257764	239536	424912	464040	349620	394443	486632	279871	158361	317450	326374	353239	405656	151743	371800	134773	429676	152194	362800	272836	457870	350228	400804	499636	407615	251257	189363	435434	445679	302279	495760	321404	472116	378215	489842	540057	405908	398976	154825	306259	449138	286516	152553	276799	318760	139649	297146	326777	305826	319376	253556	166083	195410	277417	333736	400380	412257	223436	367962	389450	265858	169866	11200	261362	287315	262479	286239	240914	297649	257130	286301	325244	315264	320683	273392	345491	493919
30	Win006_C02	557.54	-99	195773	189297	266767	199646	347092	268521	356250	254959	328144	240170	301235	264335	249528	263636	244383	281392	310165	359035	334479	204036	174520	223425	418897	118425	170424	384898	257914	244399	286854	242252	168500	198992	212944	328659	242945	196213	200585	239566	230267	231177	237183	322255	308940	219234	196626	189337	164995	266457	245406	223990	231933	294453	364469	265161	608842	486626	77987	10680	276328	189037	292830	231309	262281	291652	181245	76771	33861	275753	265204	314401	334520	51997	332253	11584	300639	309011	386531	355023	240084	232605	237782
31	Win006_C03	560.43	-99	443609	777493	467692	790131	666833	261313	399687	543792	364192	537001	499782	571395	666712	299371	540849	271808	462223	177035	581620	770110	580248	713385	421398	647933	532183	489659	501339	438929	432834	557045	707129	416160	439647	471317	487899	593782	210375	571312	343863	381974	401115	142765	520186	241278	387642	293158	539710	439993	367351	695140	340898	433112	360361	425952	422541	248201	1040	204	369013	557756	279466	92414	446776	153696	302208	45054	3074	199011	508975	201588	342712	625	326660	135623	240459	344494	191247	360089	322649	329062	233076
32	Win007_C01	589.95	-99	7786898	10818973	9181433	13342179	14881239	8455877	11578101	10115273	10524543	9088016	12133302	10379844	9056892	8236824	12098076	7172872	15529209	17001607	20546545	14356665	9363093	10035196	9147300	8000825	9033337	17751812	14085319	7265472	10577608	11544632	8711771	7905460	11285528	11553472	9602364	9818115	5385890	11906584	7269792	8475712	7398423	6273624	11290166	6806984	7205302	7146054	8552683	11811408	5903941	14554232	9434002	9447229	14980764	10214422	24572399	18556814	5549505	6735038	9534089	7653628	6981945	6365366	8379577	9393943	6279513	4172903	3614328	7845677	10151212	10155300	12491742	5407474	9070679	9042881	10457736	10479016	11053472	12275332	9548078	9373939	6168575
33	Win008_C01	647.4	-99	310840	312773	330346	530616	531380	138840	485163	242740	556543	309281	480184	448135	134617	92539	719531	126154	83561	27281	301587	403400	192526	391695	255611	463191	386006	303278	84865	227206	176868	143609	345169	170799	180399	112154	78407	93752	219589	359986	91323	209021	101077	54858	313189	161766	181663	103336	130636	131026	221178	921127	144962	256259	54161	660026	295252	37810	59705	468754	374676	295449	532303	36986	212549	209821	631657	32799	10614	221242	173530	144421	124688	34690	105697	89407	86440	140531	109337	75935	117042	91023	209791
34	Win008_C02	652.53	-99	1714181	1020057	1164806	1319156	1380454	1075929	1283915	1228556	1198480	865441	1028746	1130749	1155603	893250	971385	829554	611802	877862	561756	490840	1017870	858883	1216610	1016609	720044	938344	757737	764095	804159	864415	861757	682653	846084	972096	869191	765170	657958	655409	755233	1302582	708927	883837	709084	365936	249011	374536	681090	412376	1042812	291678	439420	673996	391544	613103	584161	361737	10034	638771	663206	941018	509488	13683	574978	1339519	770454	10107	14113	782177	714502	671317	630520	11149	669371	1190635	648338	335368	1347543	338058	477946	775690	1451933
35	Win008_C03	660.88	-99	504485	700879	661337	868432	1048380	638200	903661	696475	814404	571163	939225	617635	669275	516933	848696	512116	1272064	1601400	1695409	1190085	562026	738843	624114	435357	670048	1527662	1119965	533847	916904	844615	624417	544103	838952	969583	809339	695281	215546	996652	510749	502469	485354	364853	816875	475732	523352	501855	608302	911017	363658	1103612	644953	708801	1201353	787005	2373958	1817166	412702	519731	823832	500997	506390	480701	634492	799998	440171	277848	198430	631771	782305	847323	1079938	303215	659400	758983	914256	869351	1043905	1105402	741483	779170	417055
36	Win008_C04	665.69	-99	421886	332245	318533	309834	255008	281398	324064	338635	308822	248432	182851	309441	318467	242452	258946	290904	102673	141358	92799	140034	221678	348530	404951	326474	224699	144059	140565	310187	255158	191554	255913	229910	194287	251637	198681	280646	306482	226076	277017	315655	254477	323277	235131	263264	313019	295916	301501	123621	295240	129726	187720	363905	140645	282430	201223	188099	200453	197703	274226	302601	246688	223679	234288	255738	245507	299215	202752	229294	233265	223620	207337	176425	216285	172469	320766	162642	171843	180455	163702	237435	241595
37	Win009_C01	671.79	-99	346849	390918	383376	488350	427284	375973	342282	437419	319233	284533	334432	1429870	371802	399140	397263	314916	181025	94496	153945	268943	322124	484026	368268	410626	274128	216730	195287	365494	358495	315793	451334	343788	316825	477919	353411	311032	335215	368101	425272	447991	462663	202846	407472	474413	286365	472732	386063	381708	341714	227352	303882	296301	301365	296902	322025	219994	101656	183288	298428	415071	314539	213775	346201	270555	236583	231793	93922	193382	228755	254819	346373	111772	294211	212091	257901	346562	320962	342333	407918	302874	391908
38	Win009_C02	674.67	-99	2904075	3893625	4305855	4069166	5145274	2822837	3247864	2893834	2787616	2828559	3437451	1696060	2935108	3325611	3255253	2899595	1314405	2279066	2231658	1818848	2806978	2392073	1951293	1757511	2271556	1560344	1554662	3117088	2927580	2992303	3227940	2901694	2546241	3616619	2171957	3363155	1213946	2407722	2760268	2455743	3308313	1373549	3023396	2812289	2246537	2914883	2109099	1555522	2423838	831003	2153667	1075752	1795157	2032829	1414619	2222437	1487105	936986	2079670	2014246	1267597	1744526	1487651	1868818	1972725	1985684	821334	1752079	1070879	1566260	1346121	1640578	1319521	1718155	1521234	2657769	2247314	2528838	2995630	2185383	2166751
39	Win009_C03	689.44	-99	1279950	955236	1007655	704961	573032	786617	807281	827185	772650	672447	796727	963376	1004117	1055672	907179	1017274	357601	556198	294833	413444	983141	887706	785987	828690	691204	413625	628849	648148	612971	575701	762567	536334	548123	322010	403379	556084	519635	314003	616120	643590	602570	495065	154076	917006	1024191	821858	629309	758301	1055796	351849	689765	589863	562839	580502	488626	719236	527282	613022	831580	841060	1224614	673161	697414	462448	888902	632167	170713	724323	713695	748187	671083	406204	674888	349269	258177	610557	790327	889307	727815	482445	657014
40	Win009_C04	692.33	-99	3574329	4861748	4630396	6145766	6900605	4141377	6565209	4836909	6283620	4076496	5410719	4329309	4333838	3995225	6189493	3375135	7523038	10092394	11256011	7556267	4025994	4935739	4891238	3479470	4107139	9291902	7543498	3946295	5716453	5476474	4167720	3695385	6081475	6908377	5468219	4980870	1711869	5942751	3491313	3394715	3073218	3567030	6530375	3401982	3507991	3553655	3906558	6302139	3196744	8258622	4430390	4991651	8520832	5641090	15138055	11785887	49139	3603813	5533912	3635016	3635948	3594055	4606189	5487955	2726677	126857	33499	4438602	5436563	5585995	6370914	30026	4787868	5342752	6100404	6743001	8168576	8244037	5904079	5239870	3112414
41	Win009_C05	696.82	-99	705338	1347743	1187522	1270944	1296776	754405	759769	1068878	842228	1059534	1142727	1110606	1304335	674452	1049230	931048	927846	468651	986845	1071903	1175754	1305606	1049273	795323	1648398	1053502	1156544	1305595	1512010	1892055	1938182	1261539	627892	1445737	1095674	1900201	646025	1688107	1381235	1006887	1501955	500348	1188646	849110	707796	747707	1655889	1296224	1021779	1220044	1006530	1089642	1260698	1196056	965654	604431	423244	391921	1037038	1045700	689255	302814	1110046	641609	711020	363033	97907	609843	1039247	532963	806433	262517	658689	407857	686309	944901	551016	1080234	615538	574277	575569
42	Win009_C06	706.13	-99	3915793	7142264	4963720	8477190	10534320	3449351	3985481	4678209	3446067	7103590	4781377	6517443	5224167	3017320	6965970	2260586	4349948	2513717	4240605	7031317	4029953	7294375	3187063	9998901	4890199	5073192	3798068	3064924	2700354	4582090	7048016	2804431	3714238	3687348	3073656	4771963	1124872	5322351	2605826	3173283	4516468	753384	4399892	4560115	4795630	5415687	4139039	3138572	2822524	7563095	5108109	3881451	3305907	3631037	2432880	2783424	1080284	622031	2719243	4717391	2521253	1048289	3410896	937375	3220564	1522461	1493	2174266	3659323	2215331	2540329	1794927	2505624	1146386	1361288	3260497	812788	2102684	2085746	1832023	1306800
43	Win009_C07	713.19	-99	3320570	2568107	972275	1501532	1086914	1005101	2847227	2907615	2680050	1777726	1403836	1782259	2181472	1585226	1620878	3414592	2424340	471315	2287561	1638862	1567575	1503205	4119437	1206031	1394051	1076109	2384981	1714466	1333627	807609	1504923	1264991	675254	1129101	895742	545694	771862	862979	71758	82771	30335	20392	740334	6143	623117	8361	1666393	1085794	92163	502947	307601	1192042	1028213	2082628	2795678	19410	46721	25622	1682890	1389481	2455475	1278	1136350	2785093	52614	7311	1536795	33408	3161553	62922	2484473	17134	102808	7144	2057802	40741	867017	1258801	1276497	1633725	97219
44	Win009_C08	724.1	-99	759357	1170523	984907	1524462	1695714	875674	1403648	1000443	1344088	1176457	1208274	997916	962629	874296	1585251	711010	1601996	2049713	2722853	2237545	1007097	1267630	1204853	845318	1280682	1840125	1660599	968804	1642602	1694576	1221293	1099977	1229864	1728216	1368298	1423675	419731	1448549	926616	923567	846811	1041967	1627119	717837	651900	663222	1087708	1608602	785506	2588834	1190342	1239433	2056854	1753379	3900899	2842947	583009	1102320	1424831	945700	813908	778391	1131895	1204214	686029	7405	24044	933512	1232064	1226156	1534768	405076	1149515	1163944	1516500	1565636	1816346	1797138	1546837	1187338	754781
45	Win009_C09	726.34	-99	3084599	2487767	1661783	1451191	1424101	1203240	1720599	1333988	1295908	1322740	1445109	1834119	2637000	1019470	1358604	1544311	588349	817315	428265	799115	1407184	2133404	1629109	1569985	1055804	842709	1073309	371496	155273	184116	140860	208933	174338	440622	138643	303571	113423	516579	203408	218983	219220	214921	252119	1531956	2000490	1325801	347998	216499	1117379	599575	756229	1018766	391121	883819	1342728	1099839	732241	141681	899118	764925	1448965	1030976	1124504	262255	867589	1116079	382799	603174	1568185	1117680	670230	285637	553983	77885	120743	69309	172312	143455	69677	153876	126712
46	Win009_C10	731.16	-99	656252	839603	696317	1018244	1103085	690130	931150	779044	820741	697859	947286	679216	790758	599216	1010332	561688	1174879	1298520	1484079	1151436	590534	870559	779062	634600	707370	1279272	1101987	642186	868132	899312	724142	646294	822767	1011457	731434	778694	241395	919469	519643	582111	544208	449085	917850	523740	559494	489706	672550	892128	517855	1212169	703249	744183	1177033	832308	2051485	1608149	362477	445211	814781	560743	555885	526642	681764	742835	510835	352487	212175	601381	815786	731260	1178061	260136	699664	701430	789516	801381	1028459	1005090	757052	696255	498790
47	Win009_C11	737.25	-99	1562245	1294411	952738	817334	979203	663223	1027629	838775	965976	779295	864859	1006304	1346326	516318	855376	806049	501064	541264	528994	620449	795907	1241573	885026	876216	724063	684249	776646	307984	299867	326771	354448	278151	250676	414866	279195	376813	172149	499819	244301	271685	225301	191283	352125	780835	1001204	721564	425277	366983	583873	516095	461443	728891	413497	685155	1044132	747188	392708	246291	705809	553107	821515	546999	757913	365023	592152	579248	256718	413954	1022372	627918	544920	191997	516472	166615	244948	189807	345178	246007	150129	235361	172604
48	Win009_C12	744.96	-99	816568	551446	476614	487817	472071	379707	568255	526773	382861	604222	344159	496556	650299	380564	484915	284934	253845	245028	198258	249868	368360	600799	520160	618389	366424	255666	245683	442419	360555	302877	387441	279401	213377	297232	356731	359809	516842	317753	383895	565740	295277	552828	282363	393158	502314	427867	417458	248019	398911	260006	215663	415421	260409	330475	106260	225970	150176	233670	310363	316057	326529	222786	385292	257183	267305	324652	159948	223817	283918	222931	235845	247639	277737	148761	305459	234698	258938	245369	196878	221426	306815
49	Win009_C13	748.81	-99	138271	130546	151560	118941	123233	141782	200378	182948	305888	158901	167514	186448	192210	150375	129729	272602	138294	135277	122326	176760	151176	195299	364300	80553	171226	151721	165092	197984	122280	105552	149097	153207	113680	124254	94957	130052	87411	162435	159283	118098	119170	161710	161906	101543	103728	128374	230112	137018	168194	178269	91044	173568	146938	251760	166134	139171	144719	141365	149428	239362	159344	133479	171939	214461	144487	30590	7111	189066	140910	129391	149036	6429	190633	113634	220655	92511	141426	141121	114488	160257	219325
50	Win009_C14	750.73	-99	1368760	232479	300294	417197	274578	271657	713943	312490	241928	228667	211241	379118	342086	146962	482536	194731	145541	98770	94904	140560	347444	394892	418182	945727	353080	301432	263038	117090	154836	97336	216762	84480	208241	173129	181452	75449	181397	150310	169968	392117	206590	77093	89381	243182	862752	216676	212796	114169	104823	170651	100479	183238	73169	147029	71728	112180	102391	75045	99940	224295	138258	69269	215734	38525	127821	229322	62538	111123	179687	138264	90154	65871	121462	53055	102928	43342	26869	34482	45838	111620	107008
51	Win009_C15	753.94	-99	134723	172927	97573	209757	158382	73670	145751	80423	66246	92957	70102	103845	114173	111877	115827	68817	66630	73799	173094	140163	115662	208865	69813	180862	211283	149223	176268	111504	139705	276916	114450	108380	128231	209058	150875	150659	68485	120363	63726	119341	78292	132394	222452	67098	101293	40446	135610	154169	71478	302162	80724	91210	121562	86492	153206	88664	18494	62627	153955	103164	70763	73120	86670	68141	52536	14803	14544	60532	67515	49616	89619	51473	65512	77484	163265	210643	247331	178566	149106	129374	148370
52	Win009_C16	757.79	-99	50048	77419	65170	86047	114287	566	74502	65956	86820	73456	82718	81670	121093	99	114450	13633	60558	15341	60230	72370	46675	95430	58899	50249	59953	64824	49596	60454	55275	75730	76269	34402	28543	110628	24367	52959	74	73632	33843	30220	20577	789	117043	9	45179	17097	67432	92560	57285	72479	14633	78721	70533	96440	122825	63460	83	128	61905	67424	54846	284	79798	33551	76	794	207	12028	95391	10591	57918	26	21845	608	82259	41730	95909	116180	34607	331	30332
53	Win010_C01	768.7	-99	3244838	5946803	4196830	5616819	7738017	3191690	6054077	4388401	3065685	5144824	5438818	4651792	4211008	3414450	5815044	1789882	7301697	10052414	10693662	8306854	3369785	4853025	2469242	4572097	3298527	9782465	5307553	2955468	3771260	4191327	5718750	2358379	5260357	3982069	6273904	3904595	749406	4261577	2460885	2357044	2160780	904870	5266763	2779973	2732695	2780740	2602012	3964922	1568844	6782441	2421697	2572834	6171492	3415521	10668984	8303318	262375	433688	3665308	1942438	2052575	486683	2808631	2768432	1601385	317226	233734	2540319	3171726	4085891	4200639	503724	3211510	3955673	4531292	5240994	4603543	5571658	3548985	4394804	2105874
54	Win010_C02	794.06	-99	1098099	1368236	1080242	1372024	1311977	457122	904067	1053047	1306291	1305410	1150679	1405437	1042637	604457	1603689	493311	501413	297983	726670	1630999	943544	1477642	683079	1442469	1474954	547449	397842	811011	904670	843277	1394075	713928	525565	983697	465179	960660	529499	929745	522406	674572	581216	588991	1200488	519813	835631	687810	946714	811506	996141	2401639	642578	995885	477762	1609849	657386	473644	345799	1275135	976150	1299833	691564	148316	882197	421443	853403	246781	110096	381421	776379	210053	413571	292415	405930	192185	523364	810709	762647	752419	813224	261061	477768
55	Win010_C03	798.55	-99	1661589	2927169	2629855	3919532	4412543	2358144	3599650	2675864	3387178	2604913	3037699	2450682	2304355	2183140	4012556	1989589	4344094	6240326	7347736	5290784	2737335	3099271	3267176	2115939	2945349	5102463	4896227	2471015	4139751	4213090	2925909	2843185	3464954	4832017	3666586	3611324	1020053	3877086	2337770	2376295	1975503	2408495	4111102	1988074	1966497	1955135	2778560	4211230	2034528	6129926	3130724	3250067	5532608	3963543	10285227	7703339	1621326	2365797	3934372	2473152	2332649	2451711	2863895	3057013	1682239	1104287	1116084	2603982	3479661	3316998	4221320	994028	3069800	3389419	3862708	4226726	5157446	5224455	4050760	3269895	1972525
56	Win010_C04	819.41	-99	8022381	10785831	7550722	7064505	8641540	5462302	6444717	7432339	7545538	14721618	8373184	9019383	7686686	5872108	10478309	6076941	11744092	2565423	6394262	7794951	7480002	6638170	6407035	10233332	4696725	3810419	5180151	8162714	3157552	3827812	11061414	5695608	7068096	4495214	2806396	5949333	1933763	4999324	5626121	4462389	5588999	1790280	6955889	4057771	4659767	5777907	6103663	9075240	4373000	6670956	5051871	5794056	3768711	3014875	1999986	1832997	5083974	2173753	2508394	5355838	3712499	2525985	3213173	3734437	4072983	3901760	4873597	4516184	4928290	3335662	3741871	5098094	3021310	5404786	2571804	4860055	2412302	4348106	3661228	3659153	3758539
57	Win010_C05	831.6	-99	1072894	1489530	1368171	1728757	2548891	1721702	2900453	2128183	1515173	1283459	1929761	1590498	1605765	1438657	1742887	812068	4365765	5100863	4016544	2855802	1379107	1646991	1226360	1141924	1466881	6202065	3200396	1211218	1232501	1599339	1346592	864705	2607743	1591638	3251231	1437039	434390	2085621	1087775	1130653	731539	1297292	1977387	1384696	1689153	1408210	1154149	1448732	990181	3015950	1277920	1890764	2533629	1743469	5522879	3904266	15901	9151	2419838	1256383	1353060	29671	1832940	1482919	985823	4182	2297	1408859	2088245	2271210	1971402	6637	1607785	1513305	2717679	2661858	1911382	3005576	1459214	2156871	967060
58	Win010_C06	837.38	-99	2276963	1760713	926052	1029075	798396	885018	901339	925655	975348	939462	792220	1400818	1905827	499019	831016	839024	446848	445358	218667	626229	829375	1330372	1133274	1221010	830272	541506	802110	129598	29798	76533	64415	95267	60316	124471	49108	158250	45590	326531	71424	108934	50905	87433	116844	1000012	1839650	1039790	191238	99043	649256	446795	368793	844054	169551	636089	1025582	794639	461390	137432	631913	508703	1214611	675727	818922	186709	663978	584321	246970	412274	1365498	682348	510630	178310	385566	96601	42038	71085	75763	67056	47151	55345	136223
59	Win011_C01	846.69	-99	1136371	965141	769413	608203	705479	544174	831903	617767	638635	577766	779957	863489	1008796	476434	671567	718789	371086	543564	254104	452884	670819	796897	611297	637450	512272	538285	585406	188072	66568	76450	87207	119778	85877	232957	70193	134129	73218	280968	100692	100614	96018	92290	149595	639650	761469	537653	151088	124873	491289	335653	360668	448128	252471	449924	863733	660075	371120	169294	512706	375608	763522	517039	549622	173398	413276	488760	261269	357073	774343	614316	403831	178376	244264	62933	50571	67808	63603	74802	57178	75099	46289
60	Win011_C02	847.97	-99	9371328	7346477	5026647	4271852	4262281	3733355	4952922	3946480	4182665	3982771	4425059	5722613	7776237	2836727	4295929	4632682	1852078	2633509	1239934	2716763	4282855	6217986	4606382	4742915	3382893	2505694	3283167	648665	231310	465311	229587	487934	243736	908756	168900	760480	91815	1426657	314009	289928	269726	255524	421430	4441714	6295643	3961731	876476	490986	2905087	2097245	2217321	3138497	1089402	3046458	4391465	3562723	2263472	774029	2780444	2275618	4605453	3205460	3543503	823124	2843664	3216082	1394155	1786755	4912379	3616652	2236056	698069	1509619	150662	99758	192103	131163	131322	141625	160799	69367
61	Win011_C03	856.31	-99	25393298	16340012	30199634	19579055	14784977	49903182	22552603	25162266	28592606	19434828	25148576	22995623	22352618	50775670	18993587	45668368	23226260	36876202	24484978	20266713	35966072	20453364	32230490	24594479	35235953	22449562	28574383	36990326	35468186	29660776	24010388	38881527	35151278	29740804	40019972	32485170	31436444	29429547	36584587	43497688	53927388	27986853	22891563	42245838	25967319	32863857	31582179	26317107	40574774	20031887	34714082	27395388	30328710	26549939	22038639	22011974	35091083	32680259	28217375	31968619	39629284	32253458	31971064	40584356	47002006	48129269	29714347	38106608	21649741	36109803	31089800	45505674	33060375	34654387	31165696	28434478	20583807	23604588	25027113	37973677	39654734
62	Win011_C04	859.84	-99	11964239	18413334	15465400	20455175	24672228	14613147	24761840	18112924	17553079	15094225	18540310	15421236	15684149	13159088	19841872	11078708	29297807	40475408	40746792	28621293	13331260	17515228	15228645	12913290	16035741	40831367	28111349	11777067	17259466	18462333	14971970	11901312	20678590	20673519	20649423	17916838	11652	20945926	10597356	11185394	10237599	10310917	22313257	11733993	12170859	11636974	14219602	18883231	11739946	27273199	14199024	17520026	32203702	18914259	55255300	40197374	9501276	10533470	20635822	11883353	12668031	12437693	15609812	16637555	9088141	55885	26059	15258971	20929878	20165985	22899083	27121	16781066	18848333	23449059	23623123	24091288	26734029	17404646	18133402	11393475
63	Win011_C05	874.61	-99	35335852	30338861	17564326	27532942	30231694	12043213	24183772	24879214	21797899	32014624	21604251	32543606	28496103	13691256	28907857	17002415	13404108	5121930	12462779	20841432	22337223	28454140	27252047	32870791	19032656	12586708	15027273	18582393	13147590	12495614	24759606	12955024	12649994	16104009	10245506	14789935	10208311	18196865	13054138	15933714	16166303	10933431	17080897	14449615	28847535	18809115	23558558	14938947	16855233	14328594	12140367	21983264	7127705	14970287	8232477	6228438	7070047	6967451	13720486	20135572	15324517	7406745	15400913	9276917	13085399	8941131	5491620	10512714	17765775	8679501	10280794	7040883	13572838	6800428	15032300	8121013	11235212	10182453	7455007	8441862	16495819
64	Win011_C06	892.58	-99	2179379	3405663	2698338	2458006	4400206	2992014	4516739	3431425	1909396	3009976	3191131	2751429	3025358	2361777	2426583	1289374	7640035	11014364	7392528	4677878	2099309	3455293	1473071	2060997	2562139	15964743	5717967	1994326	1880613	3188934	2454275	1271426	3799257	2425471	4253440	2369346	107499	3364470	1500680	1880172	1463568	1541061	4227326	2612634	2696414	2324030	2033288	2250844	1257765	4332010	2427040	2463464	4080223	2365451	7690640	4943215	32844	23852	4074828	1620264	1887742	56398	2540873	1229523	1334907	104625	27339	1826473	3615214	3775924	2798315	1415932	2443010	1569685	3959965	4173625	1312948	4880525	1773397	3683427	1219874
65	Win011_C07	901.56	-99	1409932	2177213	1770686	1931973	2903299	2110783	3233297	2355377	1922363	1915403	2368783	2081502	2104769	1748650	2201534	1336363	4346898	6598169	4264740	3324529	1655568	2211641	1621274	1567236	2138735	7845340	3582040	1408690	1632511	1906522	1774649	1220468	2988756	1898609	2755298	1713992	410851	2629623	1069028	1183120	1134528	911813	2565508	1697195	1874600	1696230	1471053	1891788	1197036	3235257	1826705	2097876	3151886	2166152	5482275	4054254	869693	1164628	2872702	1428848	1634450	1343284	2128082	1727812	1260347	649416	540	1785498	2689500	2831872	2343223	1052806	2006757	2098839	2993460	3094151	1954659	3438714	1761374	2780287	1270274
66	Win012_C01	981.15	-99	931593	852749	883295	585367	725146	684951	1063947	1030575	867380	1000621	574239	1314225	756701	440766	726450	555266	401600	264643	371050	996867	594072	1338330	906472	834830	856960	480265	320025	501546	602880	438622	631186	468730	281789	176837	170387	316107	576206	1102341	598525	783884	461223	462616	428182	623304	767246	577059	804612	468092	565231	568814	368366	988882	314817	1314808	539171	397001	282317	1021993	663287	658608	720477	381668	842728	671162	547159	565451	317843	496104	636199	552533	445030	285161	430444	281450	276461	154968	164025	223780	130106	293066	292145
67	Win012_C02	1001.69	-99	1910873	1524471	1361989	1448888	1137745	907150	1466766	1426047	1454237	1413829	909213	1532824	1505695	823280	1788556	998159	835095	600635	1026073	972550	1160834	1787333	1811168	1958530	1178932	1045709	773312	1327667	932204	751209	1070225	795873	774291	956201	668329	1094525	1012080	822633	774656	1044695	1014482	862947	1262653	743459	1071814	823658	1431049	918736	1178573	879509	762971	1573699	610908	1210424	767850	430533	447977	1150756	643514	1333002	1063886	540211	966556	731957	987268	727571	385431	789823	1218164	728433	717023	567312	936095	434148	1642666	658953	675154	794348	506061	642925	990749
68	Win012_C03	1005.54	-99	2498697	2588355	1865976	1983786	2294800	1167269	2049097	1589300	1963006	2077875	1838940	2272210	2993743	1367704	2055269	1898172	1120226	814046	846004	1200086	1744930	2449881	1987912	1866512	1469442	996465	1240187	1256118	898648	875730	1195056	930881	868072	1607194	605223	1160094	866695	1258099	1081416	1117141	1158384	1131482	1745091	995678	1707544	1204701	1675645	1285053	1856079	1269092	1300417	2365869	849120	1962458	1587097	1070680	901216	620685	1209094	2241183	1620705	1175508	1769765	813407	1054214	1077811	1124120	1094910	1983781	1502652	1410843	558294	1154243	406305	1782781	922694	1258308	1053381	702247	607055	1338890
69	Win012_C04	1028.33	-99	652185	622111	429602	562016	716089	890052	1205345	2615473	464858	867275	549788	922070	806170	422954	455816	597161	739835	537710	451928	810990	581871	758133	856816	629022	616279	682366	654123	349993	288581	281176	321027	233871	329640	248764	307458	314643	238941	464686	346805	688385	435188	613610	374636	596591	712658	1077042	462977	293351	413899	343833	210857	773229	755806	993601	1163467	968888	338685	381242	921941	506156	610672	469612	1039936	652535	513690	341938	265678	367003	559427	576957	488519	1575343	416228	214791	221320	157990	247050	267183	108843	171405	184022
70	Win013_C01	1067.48	-99	1107762	1059814	620343	834039	625848	612556	806983	907656	804742	752751	521311	926634	1016599	524404	810435	806207	472759	352704	451257	466784	684607	964048	993453	902057	669326	450462	499921	805004	543001	407092	630668	492267	468000	503220	412810	557702	549451	551568	534121	720542	517445	676904	753775	391872	636062	492683	861910	504855	562961	492951	492910	745428	401191	672179	437481	248983	357835	227284	457193	651754	441198	393633	564299	353983	486840	470764	276659	343344	607672	395103	422851	354081	405696	273817	530946	334940	353647	360783	237744	376606	658950
71	Win013_C02	1084.81	-99	1390902	939059	759881	861920	706104	834555	980627	1143050	803459	881537	590809	861685	860906	615548	803519	655259	487788	346064	396426	548805	540293	1020072	989753	1059568	680411	547345	492106	894390	653535	455438	613274	588944	524207	449107	527688	576220	863885	676188	753684	991773	698662	832949	690852	672444	791317	594987	844310	598969	659775	545831	427065	796255	495954	751474	422193	351237	343541	388858	586568	599395	627439	395560	695129	657993	610998	663301	358088	442577	585877	511094	470910	373303	575118	448933	459958	289968	327365	407291	293565	480110	557716
72	Win013_C03	1093.79	-99	257429	196521	212734	175511	204336	172764	247811	256450	209556	205952	235813	218577	285145	181814	223218	202572	175606	133795	121131	153868	187177	278231	201706	198076	167727	152658	158477	157403	104011	123048	198229	118551	127178	167210	76351	111815	179165	132110	128790	173649	149769	169778	205365	162834	191728	185001	158622	156584	228695	138723	133487	221150	138658	204288	158915	130341	111520	140863	180648	174369	201443	142325	247260	177278	191415	152650	113858	126060	220564	184926	161456	228759	196835	104218	152262	152654	198867	161781	121337	100885	198965
73	Win014_C01	1114.65	-99	1333514	1305994	1410278	794678	1254491	633383	1072358	976063	1294216	1142947	847186	947591	1712070	687821	1384325	996388	519616	216424	388685	250962	1449373	1601913	755716	1048917	772756	472657	355533	2173373	1329503	1243507	1679501	1392153	1293169	1814881	830133	1623347	2066941	781551	1293205	1564477	1444987	2046532	1980948	675351	773079	826967	2344299	1267234	1405310	868630	943445	1959928	681153	1371218	696337	282003	536674	459558	743356	1940625	948439	566905	1349697	438837	724045	683958	453868	782303	1135734	679236	849616	438067	745119	460522	3377232	1348589	1916374	2069146	1141121	865587	2052928
74	Win014_C02	1123.64	-99	3335979	2923075	1599151	2134638	1600897	1399286	1861549	1541884	2255076	2084764	1473076	2291773	2824153	1344821	1718229	1666727	559595	428863	749721	992419	1694735	3383097	3175522	2771921	1467414	763876	1286136	1265641	922071	809141	1194558	752209	734300	1316823	473128	1387007	747130	1101855	855264	1433526	1017663	1432130	1643335	1358709	1700240	1650493	2418745	874834	1556795	912577	1284679	2870002	565421	1527317	1077266	673878	724325	466663	824484	2262236	1545203	964346	1360426	566967	1146593	1202366	796790	786654	1756855	834642	980958	578506	1036223	410269	2433411	705586	858713	908354	382334	531461	1259179
