Window	RT_s	RI	Annotated	X201	X202	X203	X204	X205	X206	X207	X208	X209	X210	X211	X212	X213	X214	X215	X216	X217	X218	X219	X220	X221	X222	X223	X224	X225	X226	X227	X228	X229	X230	X231	X232	X233	X234	X235	X236	X237	X238	X239	X240	X241	X242	X243	X244	X245	X246	X247	X248	X249	X249_1	X250	X250_1	X251	X252	X252_1	X253	X253_1	X254	X255	X255_1	X256	X257	X258	X259	X260	X261	X262	X262_1	X263	X264	X265	X266	X267	X268	X268_1	X269	X270	X271	X272	X273	X273_1	X274	X275	X276	X277	X278	X279	X280
94	Win024_C05	1616.25	-99	300845	299522	216385	203850	247695	275764	221374	191049	233360	162565	121200	257439	309918	217849	193384	180137	234203	238006	126891	247894	194311	241904	328901	250888	374883	242766	287188	209696	235413	195571	20869	209134	461505	61711	148235	21008	64136	28923	56049	154417	78483	88130	95445	196224	44786	89083	144784	116556	62021	213034	329185	98039	162937	219605	291870	103400	241959	262745	178889	117624	261080	172991	113449	151735	136526	146046	24253	338070	208135	250352	253972	215929	325749	94832	109080	148896	222489	134125	173239	32357	148830	77877	48281	43640	3119	71017	7683	48437
95	Win024_C06	1620.1	-99	69480	60942	54583	41839	26812	44636	36714	45072	59881	41211	47803	56029	26220	73837	47997	66878	43299	52888	52654	39785	59487	75856	45490	39981	57843	57761	70963	61619	58523	45369	25499	21289	44347	26853	18821	17874	35931	27624	32638	54100	13984	46612	13929	18700	32935	24170	23874	34201	10513	31939	32973	22954	46923	17556	39238	66724	24360	52559	20262	26073	76737	23712	15111	34288	31991	34679	7568	51570	26347	42335	50713	35086	41814	15696	25122	20730	34445	28496	14984	1728	23237	32979	19747	19466	12411	22198	12012	19407
96	Win025_C01	1635.18	-99	7633	779112	1223134	1020019	1114911	667467	893712	1114569	1136140	904371	884348	854678	938189	1422056	1846126	1936350	1197069	1205826	1149954	1353413	1083000	877440	1224595	1639534	1659480	1401631	1677702	1631867	1450251	1322212	1223669	528485	436787	592405	307060	317899	218945	245895	772428	768982	242759	338205	198107	201652	53810	440765	373247	175863	109575	126871	149580	93860	29971	292593	42619	401276	155845	188901	252208	428707	91989	386065	347709	300425	138181	109616	194459	223522	32423	2299	33732	396039	372365	353462	289109	81899	277198	207565	265643	510759	219013	260772	79750	71586	25477	13748	15303	40258
97	Win025_C02	1642.89	-99	509155	726216	703668	286429	445531	772309	730648	578959	833931	508905	342837	622289	558397	792996	578456	427025	686496	642053	696122	661475	874420	660332	797918	571089	721805	456920	806292	910154	640184	598764	192952	300837	837733	509991	477545	286440	273118	441740	330627	655777	264179	413244	276591	844823	387193	457068	441100	363579	204436	325342	484355	201325	440671	125412	393654	277754	475557	381013	214506	358642	502157	283163	211160	358487	185660	243455	7089	726717	250683	271407	501439	402822	564229	87456	283258	379247	208536	225741	412887	71999	188163	192466	175137	338591	194663	111798	162646	259150
98	Win025_C03	1648.02	-99	884300	787136	823424	503833	851571	706705	391123	506843	501903	722668	622953	595917	712557	706829	617967	674344	898596	700693	712946	624735	1070537	688997	872157	510093	693303	670792	755105	693705	720007	754275	147159	126879	355236	332481	463304	207397	236545	330245	347474	301602	352585	371679	278378	353747	285142	303158	402977	209652	246051	323779	195067	234083	479831	203701	568764	509741	500955	589862	297255	419717	654411	366434	321825	509505	276052	347716	23035	522781	355138	403457	550358	529658	549979	67277	459114	329999	326165	463721	453188	52368	106209	135481	139901	154913	313387	116824	156999	192932
99	Win025_C04	1654.44	-99	2294120	2139133	2432137	1485064	1905099	2054015	1657211	1761753	2072789	1798817	1534486	2030268	2052010	2216321	1870839	1516908	2546226	1729880	1870573	2125824	2855640	2039401	2267095	1342665	2024409	1762229	2201754	1965582	2336549	1505782	340993	1028470	1614238	719080	920909	638462	710896	922459	621817	896888	824092	829181	598818	1600372	837843	989539	812303	768618	313030	1008776	1042064	669896	1605304	578010	1822676	2857820	1466125	1841560	821555	1043549	3036768	1001506	705679	1629564	1001211	1270972	112304	1901474	1269879	1299784	1581947	1625413	2078406	459155	1172310	1505759	1133699	1207865	1182077	185400	750625	487290	383578	514724	445744	445203	397805	471031
100	Win025_C05	1661.82	-99	1584574	1076244	1221673	881131	981290	1320853	866567	1079395	1249982	964722	520717	797915	1433114	839925	1220874	634550	1555358	714618	765086	1196353	1225968	1141943	1739231	896383	1131385	946694	1330190	1375461	1318506	811607	263617	1194116	861316	368186	662815	844181	444781	404885	350643	577473	889970	782990	366062	874091	436422	459776	296759	279398	435988	253641	204455	119138	392844	116869	636556	372773	436928	484606	131065	332381	677291	165128	118635	356508	322688	358224	2010	757347	268820	499486	383444	322310	552795	95382	203786	338968	317997	241835	264548	157934	653457	222245	277680	482565	498985	393747	448189	432116
101	Win025_C06	1662.46	-99	1979715	1999579	2248301	1353467	2373220	2154610	1324046	1439141	1291249	1879056	1319595	1496913	1620602	2101058	2018656	1829268	2248160	1661063	1631371	1458749	2766448	1440707	2224061	1258003	1631378	1650330	1844743	1748124	1800592	2081961	356513	489941	1030255	554899	915202	539257	406356	688868	471629	764926	435197	459218	385349	977995	745168	888537	801964	488556	182024	926764	1056761	701293	1530162	524247	1647623	1721150	1374174	1357647	689611	1247274	2462347	790613	669437	1601400	790897	968566	64142	2142581	986471	1164329	1425640	1477250	1987607	453558	1176396	942058	1041308	946077	1432726	50050	336655	342703	330204	371775	413970	177127	442709	568628
102	Win025_C07	1664.71	-99	342410	550945	335166	253425	355210	335622	190711	548372	570363	248322	108262	184510	430878	641109	162468	390743	185688	581914	482793	1099607	1003018	393573	329769	560689	444163	199122	393082	951219	1502482	218189	108861	350235	482922	255616	215625	133727	192892	124054	153556	278787	197472	211580	170821	261641	219446	173307	311950	173233	86627	586320	228190	151840	121015	61574	336300	71688	150003	601517	578508	314319	323275	199526	170611	152036	152047	132839	2965	172543	877637	211687	548426	279010	235747	88841	1091882	121909	80924	382142	327130	47019	332772	129558	118335	158806	55834	138013	55942	84486
103	Win025_C08	1670.49	-99	10114	23879	32961	10210	33111	12231	21306	3375	18355	7788	14325	13929	5260	43069	9204	53216	31085	26652	32006	12114	17827	2217	28097	9920	19722	24409	22246	19940	47391	20048	264771	16558	17065	161457	74668	17032	125038	184676	364184	732791	2466	328498	91218	4470	227850	43412	367330	176670	2046	9104	9174	14902	24830	5145	10317	10318	43902	19000	27867	23362	23287	6561	16634	17840	6729	7700	9686	18361	23856	7425	8870	10435	76880	12193	28595	19818	22072	17090	14614	8535	121799	126995	49580	33334	6144	19390	26395	17691
