Window	RT_s	RI	Annotated	X201	X202	X203	X204	X205	X206	X207	X208	X209	X210	X211	X212	X213	X214	X215	X216	X217	X218	X219	X220	X221	X222	X223	X224	X225	X226	X227	X228	X229	X230	X231	X232	X233	X234	X235	X236	X237	X238	X239	X240	X241	X242	X243	X244	X245	X246	X247	X248	X249	X249_1	X250	X250_1	X251	X252	X252_1	X253	X253_1	X254	X255	X255_1	X256	X257	X258	X259	X260	X261	X262	X262_1	X263	X264	X265	X266	X267	X268	X268_1	X269	X270	X271	X272	X273	X273_1	X274	X275	X276	X277	X278	X279	X280
1	Win001_C01	114.03	-99	63580065	61591250	66294617	36182386	47045324	57876777	54515542	44087155	45028543	55038228	50630241	54520087	50097733	60213938	72790377	61250359	62399838	46479526	68160628	42789320	68473407	69646397	62067453	51307886	48919354	60471586	69292977	57452977	69389732	59440433	59926272	62626892	65353424	62479346	75125046	77111399	62549892	64153124	59941939	73749272	72581603	66182529	48021001	48655927	65988259	57651287	66282508	49517816	9465926	29018102	19714056	15842412	45337308	23178921	41357197	23491428	42304589	44368977	18442201	36237277	44587166	32402082	25255023	43769121	25941545	27975674	15934645	69263138	38480062	35714636	43321640	45287677	54231883	18654321	27452238	41231607	39964192	26413634	47670073	21484992	54288932	49502514	33544541	55814495	52958244	39196122	56985980	55493228
2	Win001_C02	130.08	-99	6665529	7603555	7652797	4837267	5980687	8001919	6420607	5612904	6290883	7702238	5054947	5509388	6408127	7673319	9462255	8021981	8936672	6569021	6831189	5764574	7213241	7561546	9344832	6515880	6967355	6900301	8506014	8926061	9244478	6673994	8160811	9231660	11927466	9519359	9090815	10088822	7335148	10726271	8160708	10003286	13314633	8540109	6138525	5636307	8200887	8000537	10572106	5262541	112648	3371044	311510	328881	3836832	383815	4670249	2412901	3672441	4151680	294370	3894341	5295366	2917951	2678051	3311559	2408982	2712580	67171	8323463	3300770	3961690	4659428	4504838	5522714	320878	3217688	3423454	3205671	3392779	4863810	2819398	9400287	5831077	5580299	7745104	8134173	6052199	8241358	8301622
3	Win002_C01	226.67	-99	2552523	2344843	3451268	1284953	1747624	1969581	1770393	1508712	1662600	2005022	1822216	2183869	1673944	2194081	2098541	2746706	2241338	1281982	2245804	1844982	2681616	2436876	1933346	1639286	1647028	2035782	2423168	1900152	2364127	2775186	1760975	2083535	2151488	1531487	2071511	2346976	1762470	1850336	1618587	2371831	1865872	1967656	1374003	1961036	1678356	1915593	1862992	1391140	53	1045691	672828	0	1355010	6542	1570067	824979	1382814	1570849	633510	1217539	1657300	1273938	820879	1242010	846747	12788	120	2279363	18046	1314749	1437265	1670087	1924267	481767	884155	1239260	1542457	973632	1548115	546636	1585216	1064004	892177	1804559	1733385	1091030	1795388	1586132
4	Win002_C02	247.21	-99	647102	932125	1031703	42790	192867	905076	392586	124357	548046	994430	55889	242142	311116	1026656	972976	783854	1340599	737179	621180	622831	681648	948906	1507869	215919	950791	352306	928819	1535609	1055209	649170	750652	1291968	2070360	994261	1118522	1980596	1958183	1819786	636964	1228927	2962177	1189539	226001	606881	916048	1157530	779837	126785	11515	6182	30308	47550	6578	9404	51625	69520	10064	14419	2861	1476	106099	5777	3808	3624	7592	8575	300	800670	79288	732	45006	19352	98831	8395	658	798	8482	7338	28597	5147	1292246	192703	103994	1367004	1282921	182375	1333422	1439809
5	Win002_C03	255.24	-99	1180856	825605	1166641	5455	417058	930415	1267	417073	666414	751131	67	477505	600797	1159514	1244209	1088153	916218	757664	792134	1502	1136905	1249200	1071721	688941	880748	747055	1798670	1145040	1467617	935898	431373	965351	1762269	1197695	1162575	1137361	1298552	1057264	5593	1765371	1478045	922978	1028	623928	667954	900092	1550928	378545	28	20825	81	4886	628	2440	615	2421	1323	1988	817	11556	13	8440	825	10826	4665	2374	11	1208730	16145	1002	1121	2134	83	2867	7905	15153	3596	10025	3681	138	827505	8832	1595	603902	614971	8024	477539	590493
6	Win002_C04	268.72	-99	174846	133946	196669	2795	22739	167071	71823	15575	48307	107268	4833	54980	54652	216302	180470	214829	166400	70136	85322	50744	170437	197329	191521	52516	145569	98461	237487	167794	226246	114673	13266	185054	305146	157675	174867	182980	204698	165725	48696	247771	259818	158713	3899	29058	80574	108915	164838	2382	1475	41162	18828	8694	15937	10707	1650	25595	40282	30929	24774	30304	4383	11517	13329	103025	16875	38557	3576	216341	29002	21445	14318	26747	7142	5443	15592	42769	27537	62671	7553	10263	171115	1760	12473	86132	113887	143	105995	123583
7	Win003_C01	286.69	-99	3444622	2808681	3875040	217020	1671406	3248591	2131538	1875604	2130481	2992311	1941999	1791392	2239433	4375314	5027976	4034707	3022899	2787683	3348026	2010836	3546336	4745088	4417527	2628666	3328715	2876572	5826736	4109670	5272630	3646047	1545410	3295273	5574866	4003347	4106673	4125276	4507320	3600870	1876917	5883525	4732890	3247707	1262581	1936621	2320129	3226112	5454322	1742487	966	62924	702	282	102494	47	1063650	22367	182146	169317	637	23377	519825	15244	6790	43668	15009	37873	2903	3906698	32268	107984	159026	210572	940015	15	15735	20559	86331	24615	194044	0	2901666	1284292	111480	1904567	2093233	938243	1507926	2220188
8	Win003_C02	322.95	-99	1834095	1557604	2159547	676501	1153640	1463451	1099063	923530	1031659	1348494	973588	1273676	1313004	1681368	1868441	1609471	1927007	1095526	1411995	1112624	1924964	1773285	1817592	1256379	1464339	1585671	1930822	1844944	1982659	1503588	1071841	1748128	2438996	1204957	1723854	2164144	1630392	1805031	895478	2449300	2101313	1463307	681498	1055598	1270630	1564560	1585886	923471	4916	123157	108724	46286	801144	90741	798012	79632	98284	867146	81673	67564	1051447	44873	39250	51445	64169	39049	1591	1874907	142804	619757	1162035	869796	1072795	58378	28094	47910	51268	90957	730067	42855	1529698	756696	98988	1105935	1139052	685169	1127347	1184187
9	Win004_C01	361.14	-99	488357	595595	699584	8370	155905	589945	231982	148561	270414	544592	83805	169090	336878	683225	889827	682019	718165	392972	350882	287977	520522	681554	917692	358575	471691	441416	812707	823102	876069	460339	451258	792215	1518129	824627	1010318	1186211	1329128	1098120	460556	1105919	2097778	743045	196188	342940	547568	744896	987083	123261	6585	5719	23050	14502	6016	15518	17505	25848	6447	7469	4720	5765	19597	6530	10942	7235	15172	5602	3545	600922	6039	11544	18917	16866	68756	8289	4767	4241	8610	2971	17271	9726	831792	138587	13756	618580	627539	153519	661970	805316
10	Win005_C01	389.38	-99	2192256	2500228	2709123	994384	1443844	1886289	1768301	62027	1938998	2339745	27292	94103	1860468	2846211	2525006	1939953	2275500	2226976	2195121	1841567	2752086	2890389	2245820	1839551	2014585	1804615	2866042	2721929	2909187	2200318	103087	2631662	3448155	2549713	2517192	2496266	3259276	3063058	66655	3278803	3212356	2367760	40393	2230165	2650224	3108454	3030691	1489347	5895	477622	0	0	901949	0	1037606	0	684050	788717	0	526379	849601	70298	0	447561	0	0	2055	1726152	0	1057206	960808	984395	1042295	0	0	610169	477677	752967	29088	0	2244009	19721	972490	2149460	2061637	992736	1442577	1526989
11	Win005_C02	422.76	-99	2294520	2829211	3243557	124635	1873383	2737157	2194855	178478	2151762	2927947	174759	1945976	2207576	4033293	2971243	2529277	3113110	2669277	2607567	2435202	3348760	3179642	3397953	2472954	2561516	2536235	3367335	3543124	3750051	2580256	2230681	3502693	4538602	3118816	3498677	4280109	5347641	4604259	2365975	3980539	5237151	3207575	237599	2429329	2857017	3995697	3907393	267639	541	57297	1703	2789	130659	203	181358	27076	113506	156508	66	89746	257480	36	0	80611	22810	50846	449	2518303	79523	121945	194152	230992	266956	986	43432	105126	106174	49263	168451	25870	3196352	222740	144448	3227895	3217742	157448	2762419	2935929
12	Win006_C01	499.78	-99	4989527	5964215	7191031	303558	3683782	5358796	4254971	3459787	3434995	6594165	6964990	4408215	4242738	5379809	6807398	7387252	6279481	3875706	6744177	3683867	6756585	6166190	6130644	4213436	5530703	5363626	5805237	6705481	6729098	7922553	6358352	6403430	7316551	4535328	8280172	9752863	6956813	7722799	3954827	7220292	9258721	8739165	4362879	6771189	5692389	7136560	4799472	3920230	5889	228047	45607	24716	197541	47885	3166990	81617	207407	2895465	62597	179684	2792922	196271	50740	122045	145959	144466	16172	5041049	220834	263249	245584	2778868	3581983	27726	90319	162036	100940	151123	3964956	39533	5704462	5477360	236959	7368813	8103267	4320418	7144761	8321327
13	Win006_C02	527.05	-99	1963146	927275	1647186	559266	875587	409417	1655729	1282546	1476746	982133	1022229	1236973	1210584	1514033	1671216	564717	1215933	1025377	1728165	1082075	1610027	2223681	483916	1198945	1770498	1357622	2570388	1417145	2036268	1734707	422380	1342089	1280164	1530054	1271532	1100003	898462	936800	580689	2000146	1341918	1047223	497945	905544	1075415	943612	1830976	1219565	2664	649601	27255	7366	1092056	8091	955343	51221	888931	630519	17938	500638	682576	385484	13083	500959	29479	309961	16773	696357	577343	756309	856476	687053	774678	2388	533798	576619	10483	322051	212753	7415	1040152	645593	575637	594000	705025	606937	433914	228511
14	Win007_C01	589.63	-99	8144205	9404216	11031831	728930	6591172	8282260	6732155	7454021	6125172	11563396	11642984	6985449	7585201	7582969	11169468	11992001	9141811	7311903	11397938	5845217	10763435	9870564	9280536	6782646	8439109	8298810	9583830	10799673	11391947	13141283	7929060	8453264	10749020	8054459	10583923	11492381	9930539	11909368	6220410	11825371	12473127	12029201	6435959	10143419	8915842	10725162	9715310	6674989	42085	397374	211983	69181	823671	223222	5663655	235818	518734	879181	323565	377254	4935644	293275	178406	484483	302153	311003	6222	7501688	413271	738819	838084	1056398	5596841	89053	253310	560634	411749	414574	6422558	145268	7670889	8058002	735842	10430834	11804462	7302811	9576088	10923815
15	Win008_C01	674.04	-99	2788124	1914558	1753041	2570518	2377903	1117688	1408009	2523129	1601885	1573712	2127981	1469752	2041940	715581	1549574	1378088	833551	1930572	2148229	1585944	1015077	998363	1445923	1756671	714273	1643121	730259	1158863	1019423	1495078	2999027	1022937	1368039	2919338	1679376	3324703	4885574	2809370	2348867	1200466	2734187	2858063	2605043	2165320	1646254	2547507	3245135	2835363	3605	617205	9004	96333	2080366	7914	1740835	3171	1397336	1969905	14505	20505	1774037	968042	505005	1016023	1065534	1323745	14695	840476	746197	2231026	1782190	1618164	1721181	80865	8736	1496591	16859	1168663	1203558	1068508	555306	1396505	2595461	3430826	2360160	2282418	3335168	2488999
16	Win008_C02	692.65	-99	3955566	5350691	6175729	167	3178102	4612514	3685718	3360809	2795642	6858042	6809179	4086980	3414693	4283812	6416694	6418208	5433110	3342817	6165090	3097757	6759127	5586381	5238836	3622155	4284356	4649437	5004107	6130623	6018557	6895080	4300333	4909986	5710337	3148404	6136855	6727783	5264897	6498571	2699587	5583298	7442243	7636520	3345	6491611	4664613	6387256	3282666	2917412	1219	866989	4465	4402	3426	219	4001	1076451	1883699	1352	2946	1796393	3496	185	901	1686463	511	2141322	298	3345043	220	2010670	2271607	2213717	2921700	6222	1140707	1923896	2025856	2105243	3240660	605	3888187	4399810	2197127	6231455	7332873	3410685	6060450	7388569
17	Win008_C03	707.41	-99	5201451	4273386	6883223	1117417	3013029	4182792	6705957	3975816	5383675	5986073	2851695	4290636	5453345	7143743	3630602	4277713	6130160	6100065	5531012	3801731	5477450	7438256	4701733	3463220	4748456	4112728	8312605	8766672	8191588	5778262	3002225	5097828	5096358	6473428	6126326	4838733	5813477	5019515	1513527	4133456	3849915	5033482	2153997	5249317	3943589	5309878	4025714	3334950	68	21975	0	168	1383170	337	2312659	13219	471258	963327	0	8016	210439	1368	10949	440975	395881	683591	48	4828091	20796	821353	844533	3626	1303450	23	18063	689857	259260	598952	426745	20339	5319420	3049831	1360631	3765280	4162955	1893606	2279781	2523995
18	Win008_C04	725.7	-99	2940765	3085460	3916029	1985357	2343531	2889629	1728835	2951493	1816867	2167592	2600519	2333525	2888347	2836324	2437284	2365232	5175323	1699707	2735670	2691313	2916640	3211758	3145126	2360992	3646857	2579593	3231331	2968922	2403970	1856965	1087094	964986	1886076	717439	1146234	1455342	1232233	1520764	819054	1514027	1255121	1528592	766902	1733271	1101765	1373624	778087	674097	173722	1599839	1270178	655698	811842	353913	1258635	837661	2080535	1639160	192612	617240	3507639	699100	321665	937897	699000	1309544	157628	3099564	1089147	815069	759208	1323531	2070774	208688	569011	724673	1614885	744653	1742124	146355	872477	898761	364730	1225724	1189814	632293	1067432	1222453
19	Win008_C05	750.09	-99	577487	602874	644700	461087	642925	721327	355143	561601	537714	414979	208704	329790	530586	523267	632832	547891	794047	484774	434556	486203	777680	566054	879751	462161	634395	550844	604436	550130	822507	365554	289053	430107	709353	326859	441613	355537	322776	310167	349968	621027	398765	324119	253909	406007	315655	243776	418120	233041	40235	334079	85875	55093	285268	67641	326321	100702	226061	284930	114983	301263	340633	230629	80644	191919	169999	155443	1211	365664	291760	175972	288783	425406	302246	151198	225615	226398	239592	186444	261291	37036	405443	242592	173348	216333	155251	193213	207152	223629
20	Win009_C01	764.21	-99	8006009	3912373	5709497	2140778	2735010	3271805	7184652	4161118	4455085	4401835	2315994	5003549	3520061	6291550	4363757	4200259	4927009	5378377	4846866	3509574	6739962	7014926	3679959	3904805	3947599	3893010	7352290	5853766	6765534	3603015	2421678	4396204	4097109	4137455	5364085	4754469	4650271	4651955	1741395	4397164	3508020	4103809	2447887	4336414	3793425	3831314	2479150	3541319	4618	1016563	445883	286496	2004529	665755	1323500	960302	1348237	1604130	390773	898565	1247606	870336	906284	550805	1253883	869159	3860	2910210	847528	1814502	961944	882060	1449337	490157	1086714	959882	695202	1125979	1334526	821105	2886620	2118485	1676369	2173688	2233400	1554700	2034422	1925980
21	Win010_C01	819.41	-99	17960695	5497836	10213695	4753650	5846574	5300345	22672309	7509616	8347779	8462768	5560530	8830408	4447766	11481810	7343119	10269157	8977639	8741324	8115173	5671375	9823791	13536963	6696910	5977904	9732399	9490782	14637089	13379427	14051885	7487228	4219115	12426171	10107358	6558498	9230599	8909349	7915166	8602857	2664919	6848592	8732703	9495359	4254319	7866891	9414358	9968436	3728415	6731944	306943	3348469	1309562	960125	6221310	1994492	4911777	3009266	4254805	3102543	1807624	2987465	3889513	2448594	2385516	2624568	3399977	2031661	7307	13761819	3173401	5137126	3230772	3442132	4342488	1766589	3165744	3215271	2240612	3257926	3107097	3699979	7334008	6272942	6926245	4566090	6889211	4481916	4949151	4571218
22	Win010_C02	836.1	-99	2572976	2659658	3576429	1962893	2258645	2607254	1351520	2986911	1758923	1318033	2417849	2190446	2811838	2444319	1513390	1694876	4851439	1488844	2096932	2712070	1689992	2584719	2470550	2067766	3522577	2334417	2501205	1839871	1561594	1296386	1399225	521590	913696	639256	1829746	479781	519249	1152847	507634	307207	625423	2001748	548273	1190840	615339	1095181	827064	577786	78824	1586715	1350461	605224	760280	328544	1353147	615517	2432063	1658349	186668	427204	4056301	479294	221937	969957	494786	1279154	4023	2684050	874716	845108	578634	1086803	2034969	165895	359160	650934	1727368	623129	1991178	78800	726395	1110356	323456	1176759	1644775	757476	991194	1603917
23	Win011_C01	857.92	-99	95800433	86027296	99603960	53066397	75113633	88804766	88618180	84308125	105123741	89822631	62534410	75206960	95393024	99635687	102438758	99331093	94675226	96183489	94041686	75397644	94466989	101000760	95411756	80597894	112052386	85538323	118456879	98577851	116725347	94763843	56795067	103036136	118631136	91047264	104924642	75947701	89392596	72470024	48232402	90965037	89114099	76011198	52966172	79547729	64012226	74286854	64187401	71124717	3980449	35375729	23039950	13446191	57997850	25470964	70685499	33036026	49969607	46941655	20210559	32494179	49078075	36088408	28113885	39685157	33811422	31305269	10936	96157760	38300797	45219497	47561605	41355894	61399323	16732821	29294709	42049200	36673642	35265333	43779154	28520098	91716972	80193087	58329316	50828997	53564062	55430505	37172683	50087363
24	Win012_C01	930.13	-99	207986	196702	235465	94986	133253	167153	112423	137431	143696	132787	102507	110176	133485	203638	169725	225589	293456	109580	192008	192034	135313	227813	179704	155116	207013	165947	226953	203526	210374	165728	106673	142994	207729	81903	104433	187546	158865	137927	75288	219026	190134	119849	56176	115119	116727	117393	111346	19399	23239	53924	44568	51320	27999	22284	70877	55397	76044	98666	27060	32191	171070	33306	16779	31219	23493	71813	10106	158205	32775	50213	18899	60795	160523	24865	21369	22026	106355	32136	61665	6155	54728	5722	11055	97225	91325	43731	104691	75690
25	Win012_C02	935.58	-99	7778298	4535180	6534790	2477907	4256377	4501504	5589631	5036796	7429022	4560446	2500118	3815842	4402114	4676686	4819906	5940776	4241079	6236042	4237420	4093268	5372475	5008600	3886761	3074898	7491504	4618946	6014292	4790409	5933259	4600587	1442646	4444972	4863708	3585083	5212349	2216860	1833953	2066870	1310327	3072031	2422265	2425803	1548313	4391184	2762885	3733490	2018254	3456115	0	1116072	453359	162740	3203972	539219	3469069	1182658	2395881	1536882	332242	891282	1914329	1030388	634904	1554399	1368704	974551	169	7184660	1475683	2376141	1925368	1401753	2997857	212289	908287	1715164	1024212	1126684	1471539	779382	5032548	4467953	2287808	2132114	2463557	2613746	1148059	2311557
26	Win012_C03	958.69	-99	1039011	1168488	1252744	868841	990802	1114618	1059681	881518	1041021	1069347	1343612	1236269	1271396	1221311	1100809	1057377	1764082	753094	1111602	1313573	1494029	1414808	1358351	1132359	1340894	1185141	1094370	1223981	1283493	1046245	694571	880528	1604433	726720	843648	968529	782125	916408	690492	1524634	873166	1069652	781166	928509	841958	619027	879048	600505	207857	941181	469977	321950	718717	277426	1026573	546918	998305	1064487	565882	756855	1405340	573384	358573	827659	530320	542633	7993	1171629	1016358	709029	1025290	1099033	1370718	205660	605599	730013	707687	630472	932461	166819	880693	577946	372042	646713	642533	466497	470997	692848
27	Win012_C04	963.18	-99	312347	397722	342142	140701	263466	401284	319732	320025	326925	308464	173435	230101	290140	433467	400975	333930	340181	339638	365358	293105	403463	372349	468939	390617	396689	323734	395564	386118	409445	272542	288752	351150	709336	352060	284592	342230	238187	223348	458538	804069	332924	310401	251510	278181	318588	190116	491888	253062	53961	426242	217071	146885	302036	143004	380622	195899	347719	409880	271518	297804	366462	191775	161339	198261	175531	161114	1285	469465	437958	254492	410528	314181	414408	114631	328642	222437	197493	280078	383598	86139	344613	199423	214207	214926	135361	204853	208302	211119
28	Win012_C05	973.45	-99	135614	260534	275232	25727	113439	226498	227622	109328	169000	171854	76285	152470	113516	188385	136593	118068	176021	208822	133790	105258	1158781	294102	199936	122901	148922	141696	248252	704856	280955	165186	121363	110647	423213	168954	175379	84478	279483	84622	57115	161291	98247	160788	29529	182016	115144	118013	166564	48470	2704	181	234	7349	65295	922	134913	179	78973	80951	1809	86483	64755	8176	709	23068	1003	6804	3638	163567	845	1641	1301	47136	153516	1225	3764	613	24415	863	126815	127	163811	118034	6907	165171	201986	54116	75720	84150
29	Win013_C01	980.83	-99	535187	691001	781548	335432	515549	694137	631678	599161	675951	454338	316632	627256	727458	717821	604866	445729	671785	627867	653008	600051	1124948	772331	823995	740635	738500	567792	910719	917819	889626	475140	272887	413708	973534	580182	489198	287793	296817	430574	282561	883616	274218	400099	200422	802156	494171	328528	623373	329285	105029	500237	522501	280840	464048	158590	466783	328413	567973	600300	386598	424135	731801	317294	252377	425551	227851	281990	4593	785865	558175	385879	573163	497314	766479	126366	402450	453916	264073	325830	512241	88552	329978	218109	224442	360340	227509	169997	162088	261417
30	Win013_C02	1005.54	-99	2524078	2014482	3053890	1820093	1719969	2680160	1517252	1877353	1941508	1495041	1246022	2554251	2090382	2536503	2226195	1552054	3884567	1579676	2393864	2271866	2462047	2029994	3213386	1733839	1925848	2269589	2804561	2295711	2936874	1456264	880479	2353802	2987536	1023275	1258980	2116490	1505908	1441946	977762	2465923	2924550	1533015	861677	1542817	1371992	1582989	1088520	720623	6490	826449	848325	5272	1600511	369917	1565899	1190055	1578305	1785827	699183	1081495	3213113	831163	656868	1655039	988110	1033642	8936	2711305	1079626	1465572	1186332	1400813	2359502	353419	505614	1526842	1469384	1035647	1181624	288250	1095177	293763	605045	1296635	1440847	988464	1500856	1499229
31	Win013_C03	1028.65	-99	483016	957376	402553	386145	490100	627439	806940	410257	459424	668648	495153	1135193	772293	787856	517306	829780	393121	460962	911392	705173	300768	953104	439809	1222783	587149	579487	838835	624674	1111487	890230	329815	1769770	478196	240168	258219	171816	133707	293984	424474	411056	208839	266595	329336	254066	388914	971511	319065	350084	36199	593147	185009	200412	445135	206297	1071270	400188	699557	694664	452200	408342	464204	351815	279942	418537	227405	558680	4782	830801	411109	434878	546601	657499	618433	1127773	556899	924535	694347	299071	859198	15860	142122	173811	39767	106254	144039	180753	159097	90978
32	Win014_C01	1050.15	-99	596377	435816	571328	235996	337790	388457	269197	414886	277143	171821	251844	416240	351252	363461	255577	327241	608219	141135	307339	466052	527190	450398	411930	311574	399326	358449	464987	379018	345758	205604	53819	258396	231042	80038	110955	290310	239082	155897	47426	280784	161422	212741	57305	154513	155517	210041	130298	50806	45288	181834	180455	103053	193223	69069	220953	133042	239645	332382	60267	174625	398812	133113	62493	272608	178207	214718	1579	573042	133009	217445	153122	245707	343895	40208	64886	180542	354208	124430	247903	21574	73267	25269	24671	271491	358633	57509	237717	344649
33	Win014_C02	1057.21	-99	637055	586928	750296	270056	402500	540613	383740	369489	464121	328368	309374	516436	359577	557724	430413	539951	572151	340997	482634	456941	664684	655216	636558	364671	427677	460620	626026	610612	578792	340848	317701	697792	603213	430926	429154	682242	487714	378405	391101	649011	640506	477481	364657	469592	472297	494029	643644	327606	2036	326610	23521	14233	369878	7115	467756	204210	364754	386095	7365	283166	407304	319832	20980	274754	226222	310625	1123	609947	250058	357098	401694	381014	473871	13544	199767	333491	383584	241712	406560	127069	466161	233061	188691	573083	574467	273366	479738	519667
34	Win014_C03	1067.48	-99	422131	646659	597524	391454	306350	689725	457795	506690	466865	449005	316152	431040	703935	854856	634143	420580	1021052	526431	492393	612267	548808	617110	1057081	484263	559724	499770	621911	617608	717583	404915	385392	624090	992113	371617	426406	642629	468028	384335	273764	597054	720653	435281	270343	441443	372534	222959	349830	236025	1933	262017	82475	48137	299481	37080	441522	98536	270889	316609	115128	180553	445688	137590	59831	124810	136129	119973	1204	598287	175045	193581	236239	197127	394354	34321	155809	193703	233788	215649	226099	220	354825	72014	131606	224966	185151	196795	169512	243164
35	Win014_C04	1069.73	-99	153899	184152	190180	137794	281170	132579	180750	142070	182727	201304	170724	189659	158334	123877	308839	81039	215911	98508	130156	98163	212060	166848	104671	197905	116570	245801	158959	102280	218407	147220	116321	134344	117731	150571	222932	132050	113403	127245	151106	192394	235155	109041	114702	111139	90861	132472	104105	123686	1009	43935	94667	17793	79628	131708	51424	123284	52029	108416	98681	25027	189677	156692	122554	122745	97540	67529	371	63516	170985	143699	141094	194483	189244	159504	17069	185620	57851	135361	70137	106725	44940	233258	133529	176151	140798	161703	249010	97000
36	Win014_C05	1084.49	-99	594496	764105	624421	622076	577833	632818	695114	669185	682797	635681	503899	645874	752905	852349	843197	553814	708598	665873	796372	641390	837438	763639	841847	835072	750659	659385	741383	725599	757320	600870	452868	638794	1069928	659011	611567	594891	525255	510997	668054	1016413	485612	655269	511673	626043	547209	401895	629962	551484	121899	684721	336073	227233	598616	330148	761926	454001	604311	709705	487403	409029	721729	388861	293716	395949	355405	347267	2	612835	810579	472809	720727	495032	655735	199808	497679	489846	332868	513805	603384	183531	571634	339083	354473	327144	255553	313321	252481	217280
37	Win014_C06	1088.02	-99	269448	359465	291244	184267	237734	310380	307877	231082	341889	270106	186525	252114	348835	446777	363819	252427	396286	264693	313089	309703	416059	377254	423104	370300	336329	269079	414589	405816	363866	266919	243236	322158	598286	287491	313817	304825	286456	245672	286367	528499	304649	272006	252249	268517	219998	182646	332924	217007	41575	265134	127440	99817	208212	130422	270311	121994	225278	273440	221297	199898	292426	160997	98242	158406	156258	102943	947	310019	333991	152312	267933	259908	303588	81413	227958	201898	127902	191048	231201	80682	280204	166782	166678	151005	96651	151509	120628	160413
38	Win014_C07	1093.15	-99	256419	183227	250485	123263	188178	220099	137796	180805	190267	133320	137546	225849	149309	209271	232482	235220	254308	161501	204049	197182	227727	258892	192381	184353	155266	194938	235235	187059	237699	195254	145868	239381	248476	165844	189570	261915	163745	191571	157870	287772	219094	185934	133951	165379	152311	216755	166760	152547	38110	181280	95765	82781	166512	97174	190355	102161	156681	121238	98981	148138	183092	130508	138914	125444	100463	109901	904	225763	138483	132095	166006	162253	194629	121232	128851	145179	159599	91781	178374	83555	165948	120606	104083	157272	166388	145136	164014	184429
39	Win014_C08	1097.97	-99	99115	276198	100113	70119	104970	142295	155045	84519	81919	161169	52405	392050	179902	260446	130350	235212	50613	102483	329490	103337	35404	332748	59037	135118	111441	83068	225200	215543	329892	139549	20062	687749	130810	12049	23258	656	3782	17636	19286	78990	27153	7918	1823	72709	35076	254338	2806	42489	8066	54063	28495	14876	57571	14684	105627	95467	134020	192809	84384	63400	89745	25874	18764	97755	45334	114387	6516	126107	31096	61476	51954	125511	71634	279711	64623	196181	116209	36644	162595	815	5735	656	1807	10321	440	454	3260	2261
40	Win015_C01	1123.32	-99	2093787	2484837	2632287	1601053	1684869	2601218	1729029	2124975	2270646	1568957	1199368	1892438	2876373	2348423	2398103	1511697	3789275	1913588	1992511	2309765	2238122	2054885	3396966	1780698	2272223	2001577	2375742	2326872	2833763	1577851	1223415	2825100	3466039	1487018	1688130	2817639	1950009	1584694	1565105	3093769	3917032	1946345	1358183	1704238	1742393	1512721	1463519	1072724	95858	1303909	649009	457854	1635645	695079	2122484	1224012	1451965	1813402	972616	1151244	3077584	1048918	817937	1201121	1047886	987110	69522	2245734	1352627	1338725	1295115	1331321	1933675	707361	723920	1336776	1621901	1189136	1029454	478293	1814596	735250	930289	1593573	1417283	1447265	1685376	1517283
41	Win015_C02	1126.85	-99	4916263	4253264	5113438	2741549	2999558	4493068	2939750	2999523	3900114	3212016	2175223	3612736	4406206	4821911	4198263	2909225	5534651	2953091	3519364	3582726	4183965	3615839	5360898	3463754	3591547	3605408	4840554	4220854	4576573	3056311	1949936	2965654	4292382	2342425	2677981	2857104	2972577	2389776	1657428	3655606	3135819	2152048	1346005	2655095	2012551	2403347	2625806	1433145	401820	1911176	1156436	662231	2129126	921831	4192220	1496222	2065458	2312765	1094380	1771986	4478430	1659524	1232770	1902076	1519034	1423025	99	4377296	1768195	2489539	2166308	2808505	3527625	869021	1513246	2097281	2261249	1428504	2221613	793541	2359484	1304628	1129946	1826141	1979137	1784608	1820038	2012102
42	Win015_C03	1140.65	-99	1144002	864479	1354742	728802	846876	907732	566738	1233780	620713	448892	735947	864188	1269749	890515	661961	594847	1824212	486526	801902	999184	656348	1055849	931919	836884	1240825	810283	1202473	701120	680774	423137	98684	244357	285779	81560	104110	109584	116516	25873	89363	89735	285315	100165	101351	384315	164514	139891	35571	53801	61883	639886	606507	248093	186748	159028	381792	332268	729618	518866	140178	238202	1156002	278952	177844	410778	304808	663794	41285	925443	302292	262018	170142	423939	578928	161850	190573	263900	558275	218609	459834	15183	39231	40778	33453	46605	83139	36327	43458	155468
43	Win015_C04	1143.22	-99	581978	803604	838768	515802	668807	826617	844260	736842	893480	649111	435536	628405	845160	1095414	833538	599345	940899	724432	718535	816320	1286432	992766	902534	940042	1029975	684625	935721	1244474	966191	574741	789718	637309	1532603	989284	816034	613899	641931	576307	592946	1325432	483264	668665	463833	727306	738599	388403	756461	602782	129443	697998	478153	320605	496655	275543	706464	444332	606520	912860	640840	499612	712615	423201	286856	390200	378121	258002	42340	707437	920555	418390	756316	496818	935315	205798	713390	618512	270749	484931	636295	199351	701459	529202	467147	513182	172565	379931	221792	274543
